"","Pais","IQ","Educacao","TempMax","RendaMensal","ExpectHomens","ExpectMulheres","Natalidade","Mortalidade","Continente"
"1","Albania",82,118,21.3,509,74.6,79.7,10.3,10.8,"Europa"
"2","Algeria",77,253,26.5,305,73.1,75.9,22.4,5.4,"África"
"3","Australia",99,2343,24.3,4764,81.2,85.3,11.5,6.3,"Oceania"
"4","Austria",99,2341,13.1,4397,78.9,83.6,9.4,10.3,"Europa"
"5","Bahrain",83,542,32.5,1913,78.2,80.4,12.6,2.2,"Asia"
"6","Bangladesh",75,20,29.9,214,70.2,74,18.1,5.8,"Asia"
"7","Belgium",98,2507,14.8,4208,78.6,83.1,9.9,11,"Europa"
"8","Bolivia",79,156,27.5,274,61.6,67.8,22.1,9.3,"América"
"9","Brazil",83,427,30.7,645,70.7,77.4,13.1,7.4,"América"
"10","Brunei",88,102,31.7,2527,72.7,77,14.2,5,"Asia"
"11","Bulgaria",91,224,18.1,933,69.9,77.5,8.5,18,"Europa"
"12","Cambodia",97,16,33.1,132,68,72.7,19.8,6.2,"Asia"
"13","Cameroon",67,36,31,133,59.1,62.6,35.5,8.4,"África"
"14","Canada",100,2052,7.4,4026,79.7,83.9,9.4,8.1,"América"
"15","Chile",88,482,18.4,1232,76.7,82,11.8,7.2,"América"
"16","China",104,183,19.1,990,75.3,81.1,8.5,7.1,"Asia"
"17","Colombia",83,231,30.3,516,71.5,78.1,14.4,6.6,"América"
"18","Costa Rica",88,487,28.6,1026,76.8,81.9,12.2,5.6,"América"
"19","Denmark",98,4133,12.5,5692,79.6,83.6,10.4,9.4,"Europa"
"20","Ecuador",79,199,25.6,497,68.8,76.1,17,7.5,"América"
"21","Egypt",78,91,30,279,68.7,73.4,23.1,5.9,"África"
"22","El Salvador",72,113,31.2,355,66.4,75.4,16.2,8.4,"América"
"23","Finland",101,2725,8.2,4459,79.4,85,8.4,10,"Europa"
"24","France",97,2042,16.8,3680,79.2,85.3,10.9,9.9,"Europa"
"25","Georgia",86,84,20.1,392,67.7,77.9,13,14,"Asia"
"26","Germany",100,1883,13.8,4305,78.6,83.4,9.3,11.9,"Europa"
"27","Ghana",61,76,32.1,190,61.9,66.4,28,7.4,"África"
"28","Greece",91,781,22.3,1667,78.6,83.7,7.9,12.2,"Europa"
"29","Hong Kong",106,1283,26.2,4538,82.9,88,5.8,6.8,"Asia"
"30","Hungary",99,585,16.6,1478,72.3,79.1,9.6,14.5,"Europa"
"31","Iceland",99,3814,8.1,5288,81.7,84.5,12.3,6.3,"Europa"
"32","India",77,47,31.7,179,68.6,71.8,16.6,7.4,"Asia"
"33","Indonesia",80,79,31.6,348,66.7,71,16.6,9,"Asia"
"34","Iran",81,176,26.6,294,72.1,77.8,14.2,5.6,"Asia"
"35","Iraq",88,193,32.3,397,67,71.2,27.7,5.2,"Asia"
"36","Ireland",95,25,13.2,6343,80.4,84.1,11.2,6.4,"Europa"
"37","Israel",93,1811,25.4,4108,80.7,84.8,19.2,5.3,"Asia"
"38","Italy",95,138,17.8,2999,80.1,84.7,6.8,12.6,"Europa"
"39","Japan",106,1341,19.2,3554,81.6,87.7,6.8,11.1,"Asia"
"40","Kazakhstan",89,225,13.5,740,67.1,75.5,22.8,8.6,"Asia"
"41","Kenya",74,62,27.4,173,60.4,65.1,28,7.5,"África"
"42","Laos",83,32,32,208,66.5,70.6,22.4,6.4,"Asia"
"43","Luxembourg",100,3665,14.6,7349,79.4,84.2,10.2,7.3,"Europa"
"44","Macao",100,1448,26,3871,82.6,87.8,10.1,4,"Asia"
"45","Malaysia",89,450,32.1,893,73.6,78.5,15.4,5.3,"Asia"
"46","Maldives",80,302,31,800,78.9,81.3,14.6,3,"Asia"
"47","Mauritius",87,310,26.8,827,70.9,77.7,10.6,8.7,"África"
"48","Mexico",87,437,29.8,799,66.3,74.3,15.6,9.3,"América"
"49","Mongolia",93,153,8.1,311,67.5,77,22.4,5.5,"Asia"
"50","Montenegro",85,NA,21.1,778,73.2,78.8,11.4,11.7,"Europa"
"51","Morocco",71,144,24,302,71.8,76.3,17.9,6.1,"África"
"52","Myanmar",89,14,32.2,98,63.8,70,17.4,8.8,"Asia"
"53","Nepal",51,22,24.7,102,67.3,71.2,20.6,7.2,"Asia"
"54","Netherlands",101,2386,14.4,4600,79.8,83.1,9.7,9.7,"Europa"
"55","New Zealand",99,2083,17.4,3769,80.3,83.9,11.3,6.4,"Oceania"
"56","Nigeria",68,NA,33.3,173,52.5,53.3,37.5,13,"África"
"57","Norway",98,5425,9,6990,81.6,84.9,9.8,7.5,"Europa"
"58","Oman",80,798,33.8,1496,73.3,76.8,18.8,3,"Asia"
"59","Pakistan",81,27,30.9,123,63.9,68.8,28,7.1,"Asia"
"60","Philippines",83,67,31.9,296,70.2,74,22,5.6,"Asia"
"61","Poland",96,545,13.4,1404,72.6,80.8,9.4,12.6,"Europa"
"62","Portugal",93,1005,21.5,1991,78,84.1,8.2,12,"Europa"
"63","Puerto Rico",82,1174,30.4,1882,73.6,82.6,5.6,9.6,"América"
"64","Qatar",80,233,33.7,5193,78.2,80.7,10.9,1.2,"Asia"
"65","Romania",88,249,16,1180,70.5,78.4,9.2,15.4,"Europa"
"66","Russia",96,338,9.5,968,66.5,76.4,9.8,14.6,"Europa"
"67","Saudi Arabia",77,1249,32.8,1795,75,78,18.2,2.9,"Asia"
"68","Serbia",89,208,18.3,705,71.4,77.2,8.9,16.9,"Europa"
"69","Singapore",106,1427,31.5,5334,81.5,86.1,8.5,5.2,"Asia"
"70","South Africa",69,336,24.7,544,62.2,68,20.3,9.4,"África"
"71","South Korea",103,1024,18.2,2926,80.5,86.5,5.3,5.9,"Asia"
"72","Spain",95,1176,21.1,2474,79.7,85.1,7.1,10.4,"Europa"
"73","Sri Lanka",85,55,29.7,336,72.6,80.1,14.2,7.1,"Asia"
"74","Sweden",98,3419,9.9,4962,80.7,84.2,10.9,9.5,"Europa"
"75","Switzerland",100,355,15.2,7550,81.1,85.2,9.9,8.8,"Europa"
"76","Tanzania",74,29,29.1,92,64.4,68.5,36.7,6.2,"África"
"77","Thailand",89,182,33,591,75,83.7,9.2,7.3,"Asia"
"78","Turkey",87,334,20.4,825,72.8,79.1,15,6.4,"Asia"
"79","Ukraine",91,143,14.6,343,66.4,76.2,7.8,15.9,"Europa"
"80","United Arab Emirates",82,805,34.4,3481,77.5,81.1,10.6,1.8,"Asia"
"81","United Kingdom",99,2076,12.9,3707,79,82.9,10.2,10.4,"Europa"
"82","Vietnam",91,76,28.8,299,70.8,79.9,15.4,6.2,"Asia"
